P,T,C,G,D,S,bodySegment,skill,Mark,w,r2,peak,nt,n,r2_alpha
10,2,2,11,1,2,2,1,STRN,0.492221335233618,0.512555436082482,3.11764705882353,0.936055490828298,34,0.382837260540603
10,2,2,11,1,2,2,1,LFHD,0.415608935208281,0.61498479035147,2.96428571428571,0.795058235177996,28,0.803748270646798
10,2,2,11,1,2,2,1,L_IAS,0.480960699318821,0.539401365411361,2.69047619047619,1.17001162510145,42,0.44468365469433
10,2,2,11,1,2,2,1,R_IAS,0.502816984811999,0.499894208593589,3.06451612903226,0.901635934087161,31,0.627015137521838
10,2,2,11,1,2,3,1,L_TH1,0.523119910703677,0.491499301500551,3.7,0.846491632120375,30,0.5339763446172
10,2,2,11,1,2,3,1,R_TH1,0.430645643283251,0.604122423809411,2.58974358974359,1.10991035680119,39,0.367249736856738
10,2,2,11,1,2,3,1,L_SK1,0.491513025879298,0.534152627110065,3.5,0.830001535390757,30,0.707165466029754
10,2,2,11,1,2,3,1,R_SK1,0.502377864390197,0.517657631624186,2.54545454545455,1.04687129238027,33,0.413214955715426
10,2,2,11,1,2,3,1,L_FM2,0.448424729480147,0.585240791310935,2.41176470588235,0.936055490828298,34,0.804031251251563
10,2,2,11,1,2,3,1,R_FM2,0.518650144770915,0.578777707053083,1.63636363636364,0.936937314182823,22,0.258299365727424
10,2,2,11,2,1,1,1,RUA1,0.434503214843859,0.595228981668537,4.33333333333333,0.738483773485744,30,0.884483284379524
10,2,2,11,2,1,1,1,LUA1,0.435592271362168,0.596679732455796,3.35714285714286,0.660200461737711,28,0.866163410006568
10,2,2,11,2,1,1,1,LF1,0.49256030107789,0.535786698286872,3.2,0.724372618578373,30,0.910468844788146
10,2,2,11,2,1,1,1,RF1,0.541199755383131,0.39760569204016,4.73076923076923,0.667566174464085,26,0.827592298007441
10,2,2,11,2,1,1,1,L_HM1,0.471722240025523,0.547699675058535,3.25714285714286,0.889002759164367,35,0.767829688976083
10,2,2,11,2,1,1,1,R_HM1,0.488456568959876,0.514578549710804,5.67741935483871,0.899017127163147,31,0.796489031400962
10,2,2,11,2,1,2,1,STRN,0.505861636425914,0.487168760263235,3.09090909090909,0.806046272739217,33,0.560623235519616
10,2,2,11,2,1,2,1,LFHD,0.451450217517588,0.580010977499751,2.86111111111111,0.893706477466824,36,0.696253821039496
10,2,2,11,2,1,2,1,L_IAS,0.512216238055825,0.514559975267355,2.64516129032258,0.739697636273475,31,0.653158096634243
10,2,2,11,2,1,2,1,R_IAS,0.500149909932518,0.500131703451808,3.15384615384615,0.942552782915416,39,0.662946825687605
10,2,2,11,2,1,3,1,L_TH1,0.45035535637136,0.589333811354568,2.09302325581395,1.15678653601122,43,0.390837783589458
